VEGETASI;VEGETASI_Standar;S_VE
Vegetasi hutan batuan ultrabasa;Vegetasi hutan batuan ultrabasa pamah;3
Vegetasi hutan batuan ultrabasa pamah;Vegetasi hutan batuan ultrabasa pamah;3
Vegetasi hutan batuan ultrabasa pamah monsun;Vegetasi hutan batuan ultrabasa pamah monsun;2
Vegetasi hutan batuan ultrabasa pamah monsun malar hijau;Vegetasi hutan batuan ultrabasa pamah monsun malar hijau;3
Vegetasi hutan batuan ultrabasa pamah monsun merangas;Vegetasi hutan batuan ultrabasa pamah monsun merangas;2
Vegetasi hutan batuan ultrabasa pegunungan;Vegetasi hutan batuan ultrabasa pegunungan;1
Vegetasi hutan batuan ultrabasa pegunungan alpin;Vegetasi hutan batuan ultrabasa pegunungan alpin;1
Vegetasi hutan batuan ultrabasa pegunungan atas;Vegetasi hutan batuan ultrabasa pegunungan atas;1
Vegetasi hutan batuan ultrabasa pegunungan atas monsun;Vegetasi hutan batuan ultrabasa pegunungan atas monsun;1
Vegetasi hutan batuan ultrabasa pegunungan bawah;Vegetasi hutan batuan ultrabasa pegunungan bawah;1
Vegetasi hutan batuan ultrabasa pegunungan bawah monsun;Vegetasi hutan batuan ultrabasa pegunungan bawah monsun;1
Vegetasi hutan batuan ultrabasa pegunungan subalpin;Vegetasi hutan batuan ultrabasa pegunungan subalpin;1
Vegetasi hutan batugamping pamah;Vegetasi hutan batugamping pamah;2
Vegetasi hutan batugamping pamah monsun;Vegetasi hutan batugamping pamah monsun;3
Vegetasi hutan batugamping pamah monsun malar hijau;Vegetasi hutan batugamping pamah monsun malar hijau;3
Vegetasi hutan batugamping pamah monsun merangas;Vegetasi hutan batugamping pamah monsun merangas;2
Vegetasi hutan batugamping pamah monsun merangas pada bentang alam karst;Vegetasi hutan batugamping pamah monsun merangas pada bentang alam karst;3
Vegetasi hutan batugamping monsun pamah pada bentang alam karst;Vegetasi hutan batugamping pamah monsun pada bentang alam karst;3
Vegetasi hutan batugamping pamah pada bentang alam karst;Vegetasi hutan batugamping pamah pada bentang alam karst;3
Vegetasi hutan batugamping pegunungan alpin;Vegetasi hutan batugamping pegunungan alpin;1
Vegetasi hutan batugamping pegunungan atas;Vegetasi hutan batugamping pegunungan atas;1
Vegetasi hutan batugamping monsun pegunungan atas pada bentang alam karst;Vegetasi hutan batugamping pegunungan atas monsun pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan atas pada bentang alam karst;Vegetasi hutan batugamping pegunungan atas pada bentang alam karst;1
Vegetasi hutan batugamping pegunungan bawah;Vegetasi hutan batugamping pegunungan bawah;1
Vegetasi hutan batugamping pegunungan bawah monsun;Vegetasi hutan batugamping pegunungan bawah monsun;1
Vegetasi hutan batugamping monsun pegunungan bawah pada bentang alam karst;Vegetasi hutan batugamping pegunungan bawah monsun pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan bawah pada bentang alam karst;Vegetasi hutan batugamping pegunungan bawah pada bentang alam karst;2
