EKOREGION;EKOREGION_Standar;S_EK
Pegunungan denudasional bermaterial campuran batuan beku luar dan piroklastik;Pegunungan denudasional bermaterial campuran batuan beku luar dan piroklastik;2.21
Pegunungan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;Pegunungan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;1.64
Pegunungan glasial bermaterial batuan metamorfik;Pegunungan glasial bermaterial batuan metamorfik;1
Pegunungan glasial bermaterial batuan sedimen karbonat;Pegunungan glasial bermaterial batuan sedimen karbonat;1
Pegunungan kerucut vulkanik bermaterial batuan beku luar;Pegunungan kerucut vulkanik bermaterial batuan beku luar;2.17
Pegunungan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;2.02
Pegunungan kerucut vulkanik bermaterial piroklastik;Pegunungan kerucut vulkanik bermaterial piroklastik;2.48
Pegunungan kerucut vulkanik lereng atas bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik lereng atas bermaterial campuran batuan beku luar dan piroklastik;1.83
Pegunungan kerucut vulkanik lereng bawah bermaterial batuan beku luar;Pegunungan kerucut vulkanik lereng bawah bermaterial batuan beku luar;2.02
Pegunungan kerucut vulkanik lereng bawah bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik lereng bawah bermaterial campuran batuan beku luar dan piroklastik;1.92
Pegunungan kerucut vulkanik lereng bawah bermaterial piroklastik;Pegunungan kerucut vulkanik lereng bawah bermaterial piroklastik;2.1
Pegunungan kerucut vulkanik lereng puncak bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik lereng puncak bermaterial campuran batuan beku luar dan piroklastik;1.81
Pegunungan kerucut vulkanik lereng tengah bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik lereng tengah bermaterial campuran batuan beku luar dan piroklastik;1.86
Pegunungan solusional karst bermaterial batuan sedimen karbonat;Pegunungan solusional karst bermaterial batuan sedimen karbonat;2.2
Pegunungan struktural lipatan bermaterial batuan metamorfik;Pegunungan struktural lipatan bermaterial batuan metamorfik;1.18
Pegunungan struktural lipatan bermaterial batuan sedimen karbonat;Pegunungan struktural lipatan bermaterial batuan sedimen karbonat;1.45
Pegunungan struktural lipatan bermaterial batuan sedimen non karbonat;Pegunungan struktural lipatan bermaterial batuan sedimen non karbonat;1.96
Pegunungan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;Pegunungan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;1.77
Pegunungan struktural patahan bermaterial batuan metamorfik;Pegunungan struktural patahan bermaterial batuan metamorfik;1.04
Pegunungan struktural plutonik bermaterial batuan beku dalam;Pegunungan struktural plutonik bermaterial batuan beku dalam;1.11
Pegunungan vulkanik bermaterial batuan beku luar;Pegunungan vulkanik bermaterial batuan beku luar;2.02
Pegunungan vulkanik bermaterial campuran batuan beku luar dan piroklastik;Pegunungan vulkanik bermaterial campuran batuan beku luar dan piroklastik;2.3
Pegunungan vulkanik bermaterial piroklastik;Pegunungan vulkanik bermaterial piroklastik;2.35
Pegunungan vulkanik lereng bawah bermaterial piroklastik;Pegunungan vulkanik lereng bawah bermaterial piroklastik;2.31
Perbukitan denudasional bermaterial batuan metamorfik;Perbukitan denudasional bermaterial batuan metamorfik;1.1
Perbukitan denudasional bermaterial batuan metamorfik (ultrabasa);Perbukitan denudasional bermaterial batuan metamorfik (ultrabasa);1.1
Perbukitan denudasional bermaterial batuan sedimen karbonat;Perbukitan denudasional bermaterial batuan sedimen karbonat;1.72
Perbukitan denudasional bermaterial batuan sedimen non karbonat;Perbukitan denudasional bermaterial batuan sedimen non karbonat;2.11
Perbukitan denudasional bermaterial campuran batuan beku luar dan piroklastik;Perbukitan denudasional bermaterial campuran batuan beku luar dan piroklastik;1.95
Perbukitan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;Perbukitan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;2.07
Perbukitan denudasional bermaterial piroklastik;Perbukitan denudasional bermaterial piroklastik;1.93
Perbukitan glasial bermaterial batuan sedimen karbonat;Perbukitan glasial bermaterial batuan sedimen karbonat;1
Perbukitan kerucut vulkanik bermaterial batuan beku luar;Perbukitan kerucut vulkanik bermaterial batuan beku luar;2.15
Perbukitan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;Perbukitan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;2.35
Perbukitan kerucut vulkanik bermaterial piroklastik;Perbukitan kerucut vulkanik bermaterial piroklastik;2.47
Perbukitan kerucut vulkanik parasiter bermaterial batuan beku luar;Perbukitan kerucut vulkanik parasiter bermaterial batuan beku luar;2
Perbukitan kerucut vulkanik parasiter bermaterial campuran batuan beku luar dan piroklastik;Perbukitan kerucut vulkanik parasiter bermaterial campuran batuan beku luar dan piroklastik;2.37
Perbukitan solusional karst bermaterial batuan sedimen karbonat;Perbukitan solusional karst bermaterial batuan sedimen karbonat;2.9
Perbukitan struktural lipatan bermaterial batuan metamorfik;Perbukitan struktural lipatan bermaterial batuan metamorfik;1.29
Perbukitan struktural lipatan bermaterial batuan sedimen karbonat;Perbukitan struktural lipatan bermaterial batuan sedimen karbonat;2.1
Perbukitan struktural lipatan bermaterial batuan sedimen non karbonat;Perbukitan struktural lipatan bermaterial batuan sedimen non karbonat;2.33
Perbukitan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;Perbukitan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;2.27
Perbukitan struktural patahan bermaterial batuan metamorfik;Perbukitan struktural patahan bermaterial batuan metamorfik;1.07
Perbukitan struktural plutonik bermaterial batuan beku dalam;Perbukitan struktural plutonik bermaterial batuan beku dalam;1.18
Perbukitan vulkanik bermaterial batuan beku luar;Perbukitan vulkanik bermaterial batuan beku luar;2.43
Perbukitan vulkanik bermaterial campuran batuan beku luar dan piroklastik;Perbukitan vulkanik bermaterial campuran batuan beku luar dan piroklastik;2.64
Perbukitan vulkanik bermaterial piroklastik;Perbukitan vulkanik bermaterial piroklastik;2.49
Perbukitan vulkanik kubah lava bermaterial batuan beku luar;Perbukitan vulkanik kubah lava bermaterial batuan beku luar;1.81
Perbukitan vulkanik lereng bawah bermaterial piroklastik;Perbukitan vulkanik lereng bawah bermaterial piroklastik;2.53
Perbukitan vulkanik lereng tengah bermaterial piroklastik;Perbukitan vulkanik lereng tengah bermaterial piroklastik;2.6
Tebing kaldera bermaterial campuran batuan beku luar dan piroklastik;Tebing kaldera bermaterial campuran batuan beku luar dan piroklastik;1.18
