EKOREGION;EKOREGION_Standar;S_EK
Pegunungan kerucut vulkanik lereng puncak bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik lereng puncak bermaterial campuran batuan beku luar dan piroklastik;4
Pegunungan kerucut vulkanik lereng tengah bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik lereng tengah bermaterial campuran batuan beku luar dan piroklastik;4
Pegunungan solusional karst bermaterial batuan sedimen karbonat;Pegunungan solusional karst bermaterial batuan sedimen karbonat;3
Pegunungan struktural lipatan bermaterial batuan metamorfik;Pegunungan struktural lipatan bermaterial batuan metamorfik;3
Pegunungan struktural lipatan bermaterial batuan sedimen karbonat;Pegunungan struktural lipatan bermaterial batuan sedimen karbonat;3
Pegunungan struktural lipatan bermaterial batuan sedimen non karbonat;Pegunungan struktural lipatan bermaterial batuan sedimen non karbonat;3
Pegunungan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;Pegunungan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;4
Pegunungan struktural patahan bermaterial batuan metamorfik;Pegunungan struktural patahan bermaterial batuan metamorfik;3
Pegunungan struktural plutonik bermaterial batuan beku dalam;Pegunungan struktural plutonik bermaterial batuan beku dalam;3
Pegunungan vulkanik bermaterial batuan beku luar;Pegunungan vulkanik bermaterial batuan beku luar;3
Pegunungan vulkanik bermaterial campuran batuan beku luar dan piroklastik;Pegunungan vulkanik bermaterial campuran batuan beku luar dan piroklastik;3
Pegunungan vulkanik bermaterial piroklastik;Pegunungan vulkanik bermaterial piroklastik;3
Pegunungan vulkanik lereng bawah bermaterial piroklastik;Pegunungan vulkanik lereng bawah bermaterial piroklastik;3
Perbukitan denudasional bermaterial batuan metamorfik;Perbukitan denudasional bermaterial batuan metamorfik;3
Perbukitan denudasional bermaterial batuan metamorfik (ultrabasa);Perbukitan denudasional bermaterial batuan metamorfik (ultrabasa);3
Perbukitan denudasional bermaterial batuan sedimen karbonat;Perbukitan denudasional bermaterial batuan sedimen karbonat;3
Perbukitan denudasional bermaterial batuan sedimen non karbonat;Perbukitan denudasional bermaterial batuan sedimen non karbonat;3
Perbukitan denudasional bermaterial campuran batuan beku luar dan piroklastik;Perbukitan denudasional bermaterial campuran batuan beku luar dan piroklastik;3
Perbukitan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;Perbukitan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;3
Perbukitan denudasional bermaterial piroklastik;Perbukitan denudasional bermaterial piroklastik;3
Perbukitan glasial bermaterial batuan sedimen karbonat;Perbukitan glasial bermaterial batuan sedimen karbonat;3
Perbukitan kerucut vulkanik bermaterial batuan beku luar;Perbukitan kerucut vulkanik bermaterial batuan beku luar;3
Perbukitan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;Perbukitan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;4
Perbukitan kerucut vulkanik bermaterial piroklastik;Perbukitan kerucut vulkanik bermaterial piroklastik;4
Perbukitan kerucut vulkanik parasiter bermaterial batuan beku luar;Perbukitan kerucut vulkanik parasiter bermaterial batuan beku luar;4
Perbukitan kerucut vulkanik parasiter bermaterial campuran batuan beku luar dan piroklastik;Perbukitan kerucut vulkanik parasiter bermaterial campuran batuan beku luar dan piroklastik;3
Perbukitan solusional karst bermaterial batuan sedimen karbonat;Perbukitan solusional karst bermaterial batuan sedimen karbonat;3
Perbukitan struktural lipatan bermaterial batuan metamorfik;Perbukitan struktural lipatan bermaterial batuan metamorfik;3
Perbukitan struktural lipatan bermaterial batuan sedimen karbonat;Perbukitan struktural lipatan bermaterial batuan sedimen karbonat;3
Perbukitan struktural lipatan bermaterial batuan sedimen non karbonat;Perbukitan struktural lipatan bermaterial batuan sedimen non karbonat;4
Perbukitan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;Perbukitan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;4
Perbukitan struktural patahan bermaterial batuan metamorfik;Perbukitan struktural patahan bermaterial batuan metamorfik;3
Perbukitan struktural plutonik bermaterial batuan beku dalam;Perbukitan struktural plutonik bermaterial batuan beku dalam;3
Perbukitan vulkanik bermaterial batuan beku luar;Perbukitan vulkanik bermaterial batuan beku luar;3
Perbukitan vulkanik bermaterial campuran batuan beku luar dan piroklastik;Perbukitan vulkanik bermaterial campuran batuan beku luar dan piroklastik;4
Perbukitan vulkanik bermaterial piroklastik;Perbukitan vulkanik bermaterial piroklastik;4
Perbukitan vulkanik kubah lava bermaterial batuan beku luar;Perbukitan vulkanik kubah lava bermaterial batuan beku luar;3
Perbukitan vulkanik lereng bawah bermaterial piroklastik;Perbukitan vulkanik lereng bawah bermaterial piroklastik;4
Perbukitan vulkanik lereng tengah bermaterial piroklastik;Perbukitan vulkanik lereng tengah bermaterial piroklastik;4
Tebing kaldera bermaterial campuran batuan beku luar dan piroklastik;Tebing kaldera bermaterial campuran batuan beku luar dan piroklastik;3
